Receitas com Empréstimo;3568083,158;3393024,33;-0,049062429;3241673,74;0,046689026
Receitas com aplicações;779101,7415;852277,23;0,093922892;790902,59;0,077600757
Outras Receitas Operacionais;150000;679421,82;3,5294788;383398,41;0,772103906
Despesas com Pessoal, RH, Diretoria;1060672,272;965334,39;-0,089884391;867488,36;0,112792326
Despesas com Risco de Crédito;388899,825;532570,86;0,369429415;514201,09;0,035724876
Despesas Administrativas;43378,54545;17500;-0,596574763;66107,26;-0,735278697
Despesas Financeiras;7900;7888,83;-0,001413924;5636,24;0,399661831
Despesas com Jurídico;40833,33333;46419,91;0,136814122;25299,01;0,83485085
Depreciação;142567,8533;131795,5;-0,075559483;129212,23;0,019992457
Despesas com TI Negocios;147743,4833;100091,3;-0,322533233;105386,97;-0,05024976
Despesas com EO;23198,78333;22211,99;-0,042536426;16056,68;0,383348862
Despesas com Marketing;25433,33333;14208,65;-0,441337484;20152,67;-0,294949503
Despesas com Sede;120000;75774,78;-0,3685435;67719,27;0,118954472
Resultado antes do Juros ao Capital;2496557,47;3010927,17;0,206031588;2598714,96;0,158621556
Juros ao Capital;1963165,718;2184787,14;0,112889819;2059002,61;0,061090029
Sobras Bruta ;533391,7527;826140,03;0,548842902;539712,35;0,530704328
Fundo de Reserva (10%);53339,17527;82614,003;0,548842902;53971,235;0,530704328
Fates (5%);26669,58763;41307,0015;0,548842902;26985,6175;0,530704328
